#title	runtime	rating	genre	image_path	imdb_url	soup_url	type
La jaula de oro	6480	7.6	Drama	./images/La_jaula_de_oro__The_Golden_Dream_(2013).jpg	http://www.imdb.com/title/tt2042583/	https://moviebarcode.tumblr.com/page/15	movie
Captain Horatio Hornblower R.N.	7020	7.3	Action, Adventure, Drama, History, War	./images/Captain_Horatio_Hornblower_R.N._(1951).jpg	http://www.imdb.com/title/tt0043379/	https://moviebarcode.tumblr.com/page/15	movie
Ship of Theseus	8400	8	Drama	./images/Ship_of_Theseus_(2012).jpg	http://www.imdb.com/title/tt1773764/	https://moviebarcode.tumblr.com/page/15	movie
The End of the Tour	6360	7.2	Biography, Drama	./images/The_End_of_the_Tour_(2015).jpg	http://www.imdb.com/title/tt3416744/	https://moviebarcode.tumblr.com/page/15	movie
Tu dors Nicole	5580	6.9	Comedy, Drama	./images/Tu_dors_Nicole_(2014).jpg	http://www.imdb.com/title/tt3483194/	https://moviebarcode.tumblr.com/page/15	movie
Haganenet	7140	6.6	Drama	./images/Haganenet__The_Kindergarten_Teacher_(2014).jpg	http://www.imdb.com/title/tt3709678/	https://moviebarcode.tumblr.com/page/15	movie
Straight Outta Compton	8820	7.8	Biography, Drama, History, Music	./images/Straight_Outta_Compton_(2015).jpg	http://www.imdb.com/title/tt1398426/	https://moviebarcode.tumblr.com/page/15	movie
This Property Is Condemned	6600	7	Drama, Romance	./images/This_Property_Is_Condemned_(1966).jpg	http://www.imdb.com/title/tt0061089/	https://moviebarcode.tumblr.com/page/15	movie
Burnt	6060	6.6	Comedy, Drama	./images/Burnt_(2015).jpg	http://www.imdb.com/title/tt2503944/	https://moviebarcode.tumblr.com/page/16	movie
Chi-Raq	7620	5.9	Comedy, Crime, Drama, Musical	./images/Chi-Raq_(2015).jpg	http://www.imdb.com/title/tt4594834/	https://moviebarcode.tumblr.com/page/16	movie
Roadtrip	1200	7.7	Animation, Short, Comedy, Drama	./images/Roadtrip_(2014).jpg	http://www.imdb.com/title/tt4078510/	https://moviebarcode.tumblr.com/page/16	short
The Abominable Bride	5340	8	Crime, Drama, Mystery, Thriller	./images/Sherlock_-_The_Abominable_Bride_(2016).jpg	http://www.imdb.com/title/tt3845232/	https://moviebarcode.tumblr.com/page/16	tvEpisode
Downhill Racer	6060	6.3	Drama, Sport	./images/Downhill_Racer_(1969).jpg	http://www.imdb.com/title/tt0064253/	https://moviebarcode.tumblr.com/page/16	movie
The Diary of a Teenage Girl	6120	6.8	Comedy, Drama, Romance	./images/The_Diary_of_a_Teenage_Girl_(2015).jpg	http://www.imdb.com/title/tt3172532/	https://moviebarcode.tumblr.com/page/16	movie
Ostre sledované vlaky	5520	7.6	Comedy, Drama, Romance, War	./images/Ostre_sledované_vlaky__Closely_Watched_Trains_(1966).jpg	http://www.imdb.com/title/tt0060802/	https://moviebarcode.tumblr.com/page/16	movie
Anacleto: Agente secreto	5580	6.1	Action, Comedy, Thriller	./images/Anacleto:_Agente_secreto__Spy_Time_(2015).jpg	http://www.imdb.com/title/tt3510480/	https://moviebarcode.tumblr.com/page/16	movie
National Lampoon's Vacation	5880	7.3	Adventure, Comedy	./images/Vacation_(1983).jpg	http://www.imdb.com/title/tt0085995/	https://moviebarcode.tumblr.com/page/16	movie
